protest   n.主张,断言,抗议;v.主张,断言抗议,拒付
reasonable   adj.合理的,有道理的,通情达理的,讲道理的
rebel   n.造反者,叛逆者,反抗者,叛乱者;adj.造反的,叛逆的,反抗的;v.造反,反叛,反抗,叛乱
recall   vt.回忆,回想,记起,取消;n.召回
receipt   n.收条,收据,收到;v.收到
receiver   n.接受者,接收器,收信机
recently   adv.最近
reception   n.接待,招待会,接收
recession   n.撤回,退回,退后,工商业之衰退,不景气
recite   v.背诵,朗读,叙述,[律]书面陈述(事实)
reckon   vt.计算,总计,估计,猜想;vi.数,计算,估计,依赖,料想
recognition   n.赞誉,承认,重视,公认,赏识,识别
recognize   vt.认可,承认,公认,赏识;vi.具结
recommend   vt.推荐,介绍,劝告,使受欢迎,托付,使...受欢迎,使...可取
recommendation   n.推荐,介绍(信),劝告,建议
reconcile   vt.使和解,使和谐,使顺从
recorder   n.记录员,录音[像]机;n.[计]宏录制器,记录器
recover   vt.重新获得,恢复,使改过;vi.痊愈,复原,胜诉;n.DOS命令:从含有损坏磁盘扇区的磁盘上恢复文件
recovery   n.恢复,痊愈,防御
recreation   n.消遣,娱乐
recruit   n.新兵,新分子,新会员;vt.使恢复,补充,征募;vi.征募新兵,复原
recycle   v.使再循环,反复应用;n.再循环,再生,重复利用
reduction   n.减少,缩影,变形,缩减量,约简
referee   n.仲裁人,调解人,[体]裁判员;v.仲裁,裁判
reference   n.提及,涉及,参考,参考书目,证明书(人),介绍信(人)
refine   vt.精炼,精制,使文雅高尚
reflect   v.反射,反映,表现,反省,细想
reflection   n.反射,映象,倒影,反省,沉思,反映
reflexion   n.<主英>（=reflection）反射,反射光
reform   n.改革,改善,改良运动,感化;vt.改革,革新,重新组成;vi.革新,改过,重组
refresh   v.(使)精神振作,(使)精力恢复,更新
refrigerator   n.电冰箱,冷藏库
refugee   n.难民,流亡者
refusal   n.拒绝,推却,优先取舍权,优先取舍的机会
regarding   prep.关于
regardless   adj.不管,不顾,不注意
region   n.区域,地方,(世界上某个特定的)地区,(艺术,科学等的)领域,(大气,海水等的)层
register   n.记录,登记簿,登记,注册,寄存器;vt.记录,登记,注册,提示,把...挂号;vi.登记,注册,挂号
regulate   vt.管制,控制,调节,校准
